Date,cf_200,cf_2000
2018-01-02,0.629807,0.540964
2018-01-07,0.703466,0.545405
2018-01-10,0.989302,0.964598
2018-01-15,0.998536,0.988977
2018-01-17,0.213657,0.107235
2018-01-20,0.707861,0.555225
2018-01-22,0.999949,0.999615
2018-01-27,0.137732,0.0293318
2018-01-30,0.109611,0.0202223
2018-02-04,0.998852,0.992327
2018-02-06,0.0809727,0.0195922
2018-02-09,0.772791,0.476497
2018-02-11,1,1
2018-02-14,0.0113879,0.00491406
2018-02-16,0.054903,0.0280248
2018-02-19,0.848808,0.740555
2018-02-21,0,0
2018-02-24,0.998935,0.994296
2018-02-26,0.0205353,0.00838054
2018-03-01,0.66037,0.469914
2018-03-03,0.998302,0.993691
2018-03-06,0.998916,0.992943
2018-03-08,0,0
2018-03-11,0.80283,0.754576
2018-03-13,0.990659,0.983947
2018-03-16,0.583252,0.456369
2018-03-18,0.987276,0.958556
2018-03-21,0.224037,0.194675
2018-03-23,0.355187,0.231215
2018-03-26,0.998842,0.992175
2018-03-28,0.999934,0.999167
2018-03-31,0.431615,0.254096
2018-04-02,0.777182,0.602507
2018-04-05,0.250099,0.141659
2018-04-07,0.892697,0.833891
2018-04-10,7.04307e-06,0
2018-04-12,1,1
2018-04-15,0.620367,0.508681
2018-04-17,0.994967,0.978951
2018-04-20,0.999235,0.998551
2018-04-22,0.868406,0.787133
2018-04-25,0.0641456,0.0416252
2018-04-27,0.999105,0.992627
2018-04-30,0.999334,0.998131
2018-05-02,0.0711791,0.0337708
2018-05-05,0.998957,0.997677
2018-05-07,0.523523,0.36736
2018-05-10,0,0
2018-05-12,0.297027,0.109961
2018-05-15,0.423148,0.136622
2018-05-17,0.167006,0.0748691
2018-05-20,0.999356,0.99868
2018-05-22,0.797714,0.682388
2018-05-25,0.288029,0.168648
2018-05-30,0.999396,0.998143
2018-06-01,0.999948,0.999802
2018-06-04,0.992981,0.98015
2018-06-06,0.50253,0.379083
2018-06-09,0.749556,0.503837
2018-06-11,0.0284948,0.000921574
2018-06-14,0.818423,0.486538
2018-06-16,0.0373317,0.00794866
2018-06-19,0.999437,0.99944
2018-06-21,1,1
2018-06-24,0.162622,0.122278
2018-06-26,1,1
2018-06-29,0.254331,0.234632
2018-07-01,0.99739,0.992387
2018-07-04,0.999036,0.9995
2018-07-06,0.277187,0.175637
2018-07-09,0,0
2018-07-11,0.999896,1
2018-07-14,0.149491,0.0686919
2018-07-16,0.863223,0.625974
2018-07-19,0.119966,0.0329545
2018-07-21,0.834599,0.774588
2018-07-24,0.00385772,0.000178164
2018-07-26,0.0209483,0.00450888
2018-07-29,0.999411,0.999611
2018-07-31,0.999997,1
2018-08-03,0.981018,0.90965
2018-08-05,0.014286,0.000343775
2018-08-08,0.930121,0.736065
2018-08-10,0.350756,0.280002
2018-08-13,0,0
2018-08-15,0.415958,0.294514
2018-08-18,0.0786351,0.0309007
2018-08-20,0.999985,1
